country,year,value,type
Indonesia,1992,0.165,co2_intensity
Japan,1992,0.25,co2_intensity
Malaysia,1992,0.264,co2_intensity
South Korea,1992,0.494,co2_intensity
Taiwan,1992,0.656,co2_intensity
Thailand,1992,0.209,co2_intensity
Australia,1992,0.533,co2_intensity
New Zealand,1992,0.269,co2_intensity
Algeria,1992,0.202,co2_intensity
Egypt,1992,0.21,co2_intensity
Nigeria,1992,0.13,co2_intensity
South Africa,1992,0.657,co2_intensity
Iran,1992,0.308,co2_intensity
Kuwait,1992,0.247,co2_intensity
Saudi Arabia,1992,0.2,co2_intensity
United Arab Emirates,1992,0.248,co2_intensity
Belgium,1993,0.316,co2_intensity
Czech Rep.,1993,0.658,co2_intensity
France,1993,0.184,co2_intensity
Germany,1993,0.308,co2_intensity
Italy,1993,0.202,co2_intensity
Netherlands,1993,0.323,co2_intensity
Poland,1993,0.858,co2_intensity
Portugal,1993,0.188,co2_intensity
Romania,1993,0.513,co2_intensity
Spain,1993,0.209,co2_intensity
Sweden,1993,0.197,co2_intensity
United Kingdom,1993,0.32,co2_intensity
Norway,1993,0.16,co2_intensity
Turkey,1993,0.199,co2_intensity
Kazakhstan,1993,1.223,co2_intensity
Russia,1993,0.835,co2_intensity
Ukraine,1993,1.175,co2_intensity
Uzbekistan,1993,1.948,co2_intensity
Canada,1993,0.48,co2_intensity
United States,1993,0.478,co2_intensity
Argentina,1993,0.215,co2_intensity
Brazil,1993,0.121,co2_intensity
Chile,1993,0.204,co2_intensity
Colombia,1993,0.174,co2_intensity
Mexico,1993,0.232,co2_intensity
Venezuela,1993,0.135,co2_intensity
China,1993,1.004,co2_intensity
India,1993,0.345,co2_intensity
Indonesia,1993,0.169,co2_intensity
Japan,1993,0.248,co2_intensity
Malaysia,1993,0.264,co2_intensity
South Korea,1993,0.505,co2_intensity
Taiwan,1993,0.657,co2_intensity
Thailand,1993,0.218,co2_intensity
Australia,1993,0.52,co2_intensity
New Zealand,1993,0.25,co2_intensity
Algeria,1993,0.213,co2_intensity
Egypt,1993,0.209,co2_intensity
Nigeria,1993,0.117,co2_intensity
South Africa,1993,0.671,co2_intensity
Iran,1993,0.315,co2_intensity
Kuwait,1993,0.236,co2_intensity
Saudi Arabia,1993,0.215,co2_intensity
United Arab Emirates,1993,0.258,co2_intensity
Belgium,1994,0.321,co2_intensity
Czech Rep.,1994,0.607,co2_intensity
France,1994,0.176,co2_intensity
Germany,1994,0.295,co2_intensity
Italy,1994,0.195,co2_intensity
Netherlands,1994,0.316,co2_intensity
Poland,1994,0.794,co2_intensity
Portugal,1994,0.189,co2_intensity
Romania,1994,0.473,co2_intensity
Spain,1994,0.212,co2_intensity
Sweden,1994,0.2,co2_intensity
United Kingdom,1994,0.303,co2_intensity
Norway,1994,0.16,co2_intensity
Turkey,1994,0.208,co2_intensity
Kazakhstan,1994,1.266,co2_intensity
Russia,1994,0.839,co2_intensity
Ukraine,1994,1.265,co2_intensity
Uzbekistan,1994,2.007,co2_intensity
Canada,1994,0.477,co2_intensity
United States,1994,0.466,co2_intensity
Argentina,1994,0.218,co2_intensity
Brazil,1994,0.119,co2_intensity
Chile,1994,0.213,co2_intensity
Colombia,1994,0.164,co2_intensity
Mexico,1994,0.241,co2_intensity
Venezuela,1994,0.138,co2_intensity
China,1994,0.929,co2_intensity
India,1994,0.344,co2_intensity
Indonesia,1994,0.166,co2_intensity
Japan,1994,0.259,co2_intensity
Malaysia,1994,0.26,co2_intensity
South Korea,1994,0.499,co2_intensity
Taiwan,1994,0.65,co2_intensity
Thailand,1994,0.228,co2_intensity
Australia,1994,0.503,co2_intensity
New Zealand,1994,0.243,co2_intensity
Algeria,1994,0.204,co2_intensity
Egypt,1994,0.19,co2_intensity
Nigeria,1994,0.097,co2_intensity
South Africa,1994,0.663,co2_intensity
Iran,1994,0.363,co2_intensity
Kuwait,1994,0.252,co2_intensity
Saudi Arabia,1994,0.228,co2_intensity
United Arab Emirates,1994,0.265,co2_intensity
Belgium,1995,0.315,co2_intensity
Czech Rep.,1995,0.567,co2_intensity
France,1995,0.178,co2_intensity
Germany,1995,0.289,co2_intensity
Italy,1995,0.201,co2_intensity
Netherlands,1995,0.315,co2_intensity
Poland,1995,0.738,co2_intensity
Portugal,1995,0.198,co2_intensity
Romania,1995,0.455,co2_intensity
Spain,1995,0.218,co2_intensity
Sweden,1995,0.191,co2_intensity
United Kingdom,1995,0.291,co2_intensity
Norway,1995,0.151,co2_intensity
Turkey,1995,0.212,co2_intensity
Kazakhstan,1995,1.202,co2_intensity
Russia,1995,0.853,co2_intensity
Ukraine,1995,1.437,co2_intensity
Uzbekistan,1995,1.833,co2_intensity
Canada,1995,0.474,co2_intensity
United States,1995,0.459,co2_intensity
Argentina,1995,0.232,co2_intensity
Brazil,1995,0.122,co2_intensity
Chile,1995,0.213,co2_intensity
Colombia,1995,0.164,co2_intensity
Mexico,1995,0.241,co2_intensity
Venezuela,1995,0.141,co2_intensity
China,1995,0.897,co2_intensity
India,1995,0.349,co2_intensity
Indonesia,1995,0.172,co2_intensity
Japan,1995,0.255,co2_intensity
Malaysia,1995,0.259,co2_intensity
South Korea,1995,0.494,co2_intensity
Taiwan,1995,0.648,co2_intensity
Thailand,1995,0.237,co2_intensity
Australia,1995,0.498,co2_intensity
New Zealand,1995,0.238,co2_intensity
Algeria,1995,0.199,co2_intensity
Egypt,1995,0.192,co2_intensity
Nigeria,1995,0.105,co2_intensity
South Africa,1995,0.685,co2_intensity
Iran,1995,0.363,co2_intensity
Kuwait,1995,0.24,co2_intensity
Saudi Arabia,1995,0.226,co2_intensity
United Arab Emirates,1995,0.264,co2_intensity
Belgium,1996,0.326,co2_intensity
Czech Rep.,1996,0.554,co2_intensity
France,1996,0.183,co2_intensity
Germany,1996,0.297,co2_intensity
Italy,1996,0.197,co2_intensity
Netherlands,1996,0.319,co2_intensity
Poland,1996,0.743,co2_intensity
Portugal,1996,0.184,co2_intensity
Romania,1996,0.455,co2_intensity
Spain,1996,0.203,co2_intensity
Sweden,1996,0.207,co2_intensity
United Kingdom,1996,0.295,co2_intensity
Norway,1996,0.148,co2_intensity
Turkey,1996,0.216,co2_intensity
Kazakhstan,1996,1.044,co2_intensity
Russia,1996,0.875,co2_intensity
Ukraine,1996,1.348,co2_intensity
Uzbekistan,1996,1.826,co2_intensity
Canada,1996,0.482,co2_intensity
United States,1996,0.456,co2_intensity
Argentina,1996,0.232,co2_intensity
Brazil,1996,0.129,co2_intensity
Chile,1996,0.23,co2_intensity
Colombia,1996,0.16,co2_intensity
Mexico,1996,0.237,co2_intensity
Venezuela,1996,0.152,co2_intensity
China,1996,0.819,co2_intensity
India,1996,0.34,co2_intensity
Indonesia,1996,0.172,co2_intensity
Japan,1996,0.25,co2_intensity
Malaysia,1996,0.265,co2_intensity
South Korea,1996,0.487,co2_intensity
Taiwan,1996,0.644,co2_intensity
Thailand,1996,0.254,co2_intensity
Australia,1996,0.507,co2_intensity
New Zealand,1996,0.242,co2_intensity
Algeria,1996,0.189,co2_intensity
Egypt,1996,0.195,co2_intensity
Nigeria,1996,0.111,co2_intensity
South Africa,1996,0.682,co2_intensity
Iran,1996,0.351,co2_intensity
Kuwait,1996,0.232,co2_intensity
Saudi Arabia,1996,0.235,co2_intensity
United Arab Emirates,1996,0.261,co2_intensity
Belgium,1997,0.304,co2_intensity
Czech Rep.,1997,0.565,co2_intensity
France,1997,0.175,co2_intensity
Germany,1997,0.282,co2_intensity
Italy,1997,0.195,co2_intensity
Netherlands,1997,0.297,co2_intensity
Poland,1997,0.664,co2_intensity
Portugal,1997,0.184,co2_intensity
Romania,1997,0.442,co2_intensity
Spain,1997,0.212,co2_intensity
Sweden,1997,0.183,co2_intensity
United Kingdom,1997,0.274,co2_intensity
Norway,1997,0.148,co2_intensity
Turkey,1997,0.212,co2_intensity
Kazakhstan,1997,0.865,co2_intensity
Russia,1997,0.812,co2_intensity
Ukraine,1997,1.32,co2_intensity
Uzbekistan,1997,1.772,co2_intensity
Canada,1997,0.478,co2_intensity
United States,1997,0.449,co2_intensity
Argentina,1997,0.224,co2_intensity
Brazil,1997,0.133,co2_intensity
Chile,1997,0.249,co2_intensity
Colombia,1997,0.167,co2_intensity
Mexico,1997,0.234,co2_intensity
Venezuela,1997,0.148,co2_intensity
China,1997,0.752,co2_intensity
India,1997,0.341,co2_intensity
Indonesia,1997,0.178,co2_intensity
Japan,1997,0.246,co2_intensity
Malaysia,1997,0.266,co2_intensity
South Korea,1997,0.486,co2_intensity
Taiwan,1997,0.651,co2_intensity
Thailand,1997,0.267,co2_intensity
Australia,1997,0.502,co2_intensity
New Zealand,1997,0.259,co2_intensity
Algeria,1997,0.193,co2_intensity
Egypt,1997,0.198,co2_intensity
Nigeria,1997,0.122,co2_intensity
South Africa,1997,0.698,co2_intensity
Iran,1997,0.365,co2_intensity
Kuwait,1997,0.234,co2_intensity
Saudi Arabia,1997,0.235,co2_intensity
United Arab Emirates,1997,0.254,co2_intensity
Belgium,1998,0.305,co2_intensity
Czech Rep.,1998,0.541,co2_intensity
France,1998,0.181,co2_intensity
Germany,1998,0.274,co2_intensity
Italy,1998,0.197,co2_intensity
Netherlands,1998,0.285,co2_intensity
Poland,1998,0.582,co2_intensity
Portugal,1998,0.193,co2_intensity
Romania,1998,0.394,co2_intensity
Spain,1998,0.211,co2_intensity
Sweden,1998,0.178,co2_intensity
United Kingdom,1998,0.268,co2_intensity
Norway,1998,0.151,co2_intensity
Turkey,1998,0.21,co2_intensity
Kazakhstan,1998,0.9,co2_intensity
Russia,1998,0.847,co2_intensity
Ukraine,1998,1.27,co2_intensity
Uzbekistan,1998,1.917,co2_intensity
Canada,1998,0.465,co2_intensity
United States,1998,0.432,co2_intensity
Argentina,1998,0.222,co2_intensity
Brazil,1998,0.137,co2_intensity
Chile,1998,0.243,co2_intensity
Colombia,1998,0.169,co2_intensity
Mexico,1998,0.239,co2_intensity
Venezuela,1998,0.149,co2_intensity
China,1998,0.719,co2_intensity
India,1998,0.328,co2_intensity
Indonesia,1998,0.207,co2_intensity
Japan,1998,0.243,co2_intensity
Malaysia,1998,0.288,co2_intensity
South Korea,1998,0.443,co2_intensity
Taiwan,1998,0.659,co2_intensity
Thailand,1998,0.263,co2_intensity
Australia,1998,0.504,co2_intensity
New Zealand,1998,0.249,co2_intensity
Algeria,1998,0.188,co2_intensity
Egypt,1998,0.2,co2_intensity
Nigeria,1998,0.108,co2_intensity
South Africa,1998,0.712,co2_intensity
Iran,1998,0.362,co2_intensity
Kuwait,1998,0.267,co2_intensity
Saudi Arabia,1998,0.244,co2_intensity
United Arab Emirates,1998,0.26,co2_intensity
Belgium,1999,0.285,co2_intensity
Czech Rep.,1999,0.488,co2_intensity
France,1999,0.171,co2_intensity
Germany,1999,0.259,co2_intensity
Italy,1999,0.196,co2_intensity
Netherlands,1999,0.264,co2_intensity
Poland,1999,0.542,co2_intensity
Portugal,1999,0.209,co2_intensity
Romania,1999,0.336,co2_intensity
Spain,1999,0.219,co2_intensity
Sweden,1999,0.166,co2_intensity
United Kingdom,1999,0.259,co2_intensity
Norway,1999,0.153,co2_intensity
Turkey,1999,0.217,co2_intensity
Kazakhstan,1999,0.787,co2_intensity
Russia,1999,0.818,co2_intensity
Ukraine,1999,1.256,co2_intensity
Uzbekistan,1999,1.864,co2_intensity
Canada,1999,0.452,co2_intensity
United States,1999,0.417,co2_intensity
Argentina,1999,0.236,co2_intensity
Brazil,1999,0.141,co2_intensity
Chile,1999,0.261,co2_intensity
Colombia,1999,0.154,co2_intensity
Mexico,1999,0.227,co2_intensity
Venezuela,1999,0.143,co2_intensity
China,1999,0.65,co2_intensity
India,1999,0.325,co2_intensity
Indonesia,1999,0.223,co2_intensity
Japan,1999,0.251,co2_intensity
Malaysia,1999,0.294,co2_intensity
South Korea,1999,0.436,co2_intensity
Taiwan,1999,0.65,co2_intensity
Thailand,1999,0.262,co2_intensity
Australia,1999,0.491,co2_intensity
New Zealand,1999,0.25,co2_intensity
Algeria,1999,0.194,co2_intensity
Egypt,1999,0.199,co2_intensity
Nigeria,1999,0.112,co2_intensity
South Africa,1999,0.658,co2_intensity
Iran,1999,0.388,co2_intensity
Kuwait,1999,0.3,co2_intensity
Saudi Arabia,1999,0.261,co2_intensity
United Arab Emirates,1999,0.259,co2_intensity
Belgium,2000,0.279,co2_intensity
Czech Rep.,2000,0.519,co2_intensity
France,2000,0.165,co2_intensity
Germany,2000,0.251,co2_intensity
Italy,2000,0.19,co2_intensity
Netherlands,2000,0.254,co2_intensity
Poland,2000,0.499,co2_intensity
Portugal,2000,0.2,co2_intensity
Romania,2000,0.344,co2_intensity
Spain,2000,0.22,co2_intensity
Sweden,2000,0.149,co2_intensity
United Kingdom,2000,0.253,co2_intensity
Norway,2000,0.13,co2_intensity
Turkey,2000,0.228,co2_intensity
Kazakhstan,2000,0.773,co2_intensity
Russia,2000,0.753,co2_intensity
Ukraine,2000,1.158,co2_intensity
Uzbekistan,2000,1.781,co2_intensity
Canada,2000,0.447,co2_intensity
United States,2000,0.414,co2_intensity
Argentina,2000,0.237,co2_intensity
Brazil,2000,0.14,co2_intensity
Chile,2000,0.231,co2_intensity
Colombia,2000,0.154,co2_intensity
Mexico,2000,0.23,co2_intensity
Venezuela,2000,0.148,co2_intensity
China,2000,0.632,co2_intensity
India,2000,0.327,co2_intensity
Indonesia,2000,0.208,co2_intensity
Japan,2000,0.246,co2_intensity
Malaysia,2000,0.293,co2_intensity
South Korea,2000,0.443,co2_intensity
Taiwan,2000,0.673,co2_intensity
Thailand,2000,0.252,co2_intensity
Australia,2000,0.481,co2_intensity
New Zealand,2000,0.253,co2_intensity
Algeria,2000,0.189,co2_intensity
Egypt,2000,0.185,co2_intensity
Nigeria,2000,0.119,co2_intensity
South Africa,2000,0.647,co2_intensity
Iran,2000,0.383,co2_intensity
Kuwait,2000,0.308,co2_intensity
Saudi Arabia,2000,0.256,co2_intensity
United Arab Emirates,2000,0.232,co2_intensity
Belgium,2001,0.276,co2_intensity
Czech Rep.,2001,0.502,co2_intensity
France,2001,0.167,co2_intensity
Germany,2001,0.253,co2_intensity
Italy,2001,0.187,co2_intensity
Netherlands,2001,0.256,co2_intensity
Poland,2001,0.49,co2_intensity
Portugal,2001,0.195,co2_intensity
Romania,2001,0.345,co2_intensity
Spain,2001,0.212,co2_intensity
Sweden,2001,0.149,co2_intensity
United Kingdom,2001,0.251,co2_intensity
Norway,2001,0.132,co2_intensity
Turkey,2001,0.219,co2_intensity
Kazakhstan,2001,0.633,co2_intensity
Russia,2001,0.72,co2_intensity
Ukraine,2001,1.036,co2_intensity
Uzbekistan,2001,1.729,co2_intensity
Canada,2001,0.434,co2_intensity
United States,2001,0.406,co2_intensity
Argentina,2001,0.231,co2_intensity
Brazil,2001,0.142,co2_intensity
Chile,2001,0.214,co2_intensity
Colombia,2001,0.153,co2_intensity
Mexico,2001,0.232,co2_intensity
Venezuela,2001,0.152,co2_intensity
China,2001,0.609,co2_intensity
India,2001,0.316,co2_intensity
Indonesia,2001,0.214,co2_intensity
Japan,2001,0.243,co2_intensity
Malaysia,2001,0.305,co2_intensity
South Korea,2001,0.44,co2_intensity
Taiwan,2001,0.716,co2_intensity
Thailand,2001,0.257,co2_intensity
Australia,2001,0.473,co2_intensity
New Zealand,2001,0.259,co2_intensity
Algeria,2001,0.188,co2_intensity
Egypt,2001,0.196,co2_intensity
Nigeria,2001,0.129,co2_intensity
South Africa,2001,0.701,co2_intensity
Iran,2001,0.392,co2_intensity
Kuwait,2001,0.332,co2_intensity
Saudi Arabia,2001,0.264,co2_intensity
United Arab Emirates,2001,0.265,co2_intensity
Belgium,2002,0.259,co2_intensity
Czech Rep.,2002,0.48,co2_intensity
France,2002,0.16,co2_intensity
Germany,2002,0.249,co2_intensity
Italy,2002,0.19,co2_intensity
Netherlands,2002,0.259,co2_intensity
Poland,2002,0.47,co2_intensity
Portugal,2002,0.206,co2_intensity
Romania,2002,0.338,co2_intensity
Spain,2002,0.218,co2_intensity
Sweden,2002,0.15,co2_intensity
United Kingdom,2002,0.239,co2_intensity
Norway,2002,0.129,co2_intensity
Turkey,2002,0.214,co2_intensity
Kazakhstan,2002,0.641,co2_intensity
Russia,2002,0.68,co2_intensity
Ukraine,2002,0.984,co2_intensity
Uzbekistan,2002,1.729,co2_intensity
Canada,2002,0.426,co2_intensity
United States,2002,0.397,co2_intensity
Argentina,2002,0.246,co2_intensity
Brazil,2002,0.136,co2_intensity
Chile,2002,0.211,co2_intensity
Colombia,2002,0.143,co2_intensity
Mexico,2002,0.236,co2_intensity
Venezuela,2002,0.166,co2_intensity
China,2002,0.602,co2_intensity
India,2002,0.315,co2_intensity
Indonesia,2002,0.21,co2_intensity
Japan,2002,0.251,co2_intensity
Malaysia,2002,0.304,co2_intensity
South Korea,2002,0.413,co2_intensity
Taiwan,2002,0.711,co2_intensity
Thailand,2002,0.259,co2_intensity
Australia,2002,0.471,co2_intensity
New Zealand,2002,0.248,co2_intensity
Algeria,2002,0.194,co2_intensity
Egypt,2002,0.201,co2_intensity
Nigeria,2002,0.128,co2_intensity
South Africa,2002,0.698,co2_intensity
Iran,2002,0.38,co2_intensity
Kuwait,2002,0.335,co2_intensity
Saudi Arabia,2002,0.291,co2_intensity
United Arab Emirates,2002,0.264,co2_intensity
Belgium,2003,0.267,co2_intensity
Czech Rep.,2003,0.476,co2_intensity
France,2003,0.161,co2_intensity
Germany,2003,0.249,co2_intensity
Italy,2003,0.196,co2_intensity
Netherlands,2003,0.262,co2_intensity
Poland,2003,0.47,co2_intensity
Portugal,2003,0.193,co2_intensity
Romania,2003,0.324,co2_intensity
Spain,2003,0.216,co2_intensity
Sweden,2003,0.15,co2_intensity
United Kingdom,2003,0.237,co2_intensity
Norway,2003,0.139,co2_intensity
Turkey,2003,0.214,co2_intensity
Kazakhstan,2003,0.676,co2_intensity
Russia,2003,0.65,co2_intensity
Ukraine,2003,0.964,co2_intensity
Uzbekistan,2003,1.587,co2_intensity
Canada,2003,0.436,co2_intensity
United States,2003,0.391,co2_intensity
Argentina,2003,0.243,co2_intensity
Brazil,2003,0.133,co2_intensity
Chile,2003,0.208,co2_intensity
Colombia,2003,0.136,co2_intensity
Mexico,2003,0.243,co2_intensity
Venezuela,2003,0.18,co2_intensity
China,2003,0.636,co2_intensity
India,2003,0.299,co2_intensity
Indonesia,2003,0.219,co2_intensity
Japan,2003,0.249,co2_intensity
Malaysia,2003,0.301,co2_intensity
South Korea,2003,0.413,co2_intensity
Taiwan,2003,0.721,co2_intensity
Thailand,2003,0.255,co2_intensity
Australia,2003,0.455,co2_intensity
New Zealand,2003,0.241,co2_intensity
Algeria,2003,0.189,co2_intensity
Egypt,2003,0.2,co2_intensity
Nigeria,2003,0.125,co2_intensity
South Africa,2003,0.721,co2_intensity
Iran,2003,0.364,co2_intensity
Kuwait,2003,0.295,co2_intensity
Saudi Arabia,2003,0.272,co2_intensity
United Arab Emirates,2003,0.253,co2_intensity
Belgium,2004,0.256,co2_intensity
Czech Rep.,2004,0.457,co2_intensity
France,2004,0.156,co2_intensity
Germany,2004,0.242,co2_intensity
Italy,2004,0.196,co2_intensity
Netherlands,2004,0.261,co2_intensity
Poland,2004,0.45,co2_intensity
Portugal,2004,0.194,co2_intensity
Romania,2004,0.293,co2_intensity
Spain,2004,0.219,co2_intensity
Sweden,2004,0.139,co2_intensity
United Kingdom,2004,0.231,co2_intensity
Norway,2004,0.135,co2_intensity
Turkey,2004,0.201,co2_intensity
Kazakhstan,2004,0.638,co2_intensity
Russia,2004,0.606,co2_intensity
Ukraine,2004,0.826,co2_intensity
Uzbekistan,2004,1.432,co2_intensity
Canada,2004,0.418,co2_intensity
United States,2004,0.382,co2_intensity
Argentina,2004,0.249,co2_intensity
Brazil,2004,0.132,co2_intensity
Chile,2004,0.211,co2_intensity
Colombia,2004,0.13,co2_intensity
Mexico,2004,0.238,co2_intensity
Venezuela,2004,0.158,co2_intensity
China,2004,0.68,co2_intensity
India,2004,0.293,co2_intensity
Indonesia,2004,0.213,co2_intensity
Japan,2004,0.241,co2_intensity
Malaysia,2004,0.31,co2_intensity
South Korea,2004,0.402,co2_intensity
Taiwan,2004,0.702,co2_intensity
Thailand,2004,0.262,co2_intensity
Australia,2004,0.454,co2_intensity
New Zealand,2004,0.23,co2_intensity
Algeria,2004,0.184,co2_intensity
Egypt,2004,0.21,co2_intensity
Nigeria,2004,0.095,co2_intensity
South Africa,2004,0.732,co2_intensity
Iran,2004,0.377,co2_intensity
Kuwait,2004,0.281,co2_intensity
Saudi Arabia,2004,0.268,co2_intensity
United Arab Emirates,2004,0.246,co2_intensity
Belgium,2005,0.245,co2_intensity
Czech Rep.,2005,0.421,co2_intensity
France,2005,0.153,co2_intensity
Germany,2005,0.235,co2_intensity
Italy,2005,0.195,co2_intensity
Netherlands,2005,0.251,co2_intensity
Poland,2005,0.443,co2_intensity
Portugal,2005,0.202,co2_intensity
Romania,2005,0.273,co2_intensity
Spain,2005,0.22,co2_intensity
Sweden,2005,0.129,co2_intensity
United Kingdom,2005,0.224,co2_intensity
Norway,2005,0.128,co2_intensity
Turkey,2005,0.191,co2_intensity
Kazakhstan,2005,0.625,co2_intensity
Russia,2005,0.569,co2_intensity
Ukraine,2005,0.871,co2_intensity
Uzbekistan,2005,1.269,co2_intensity
Canada,2005,0.414,co2_intensity
United States,2005,0.371,co2_intensity
Argentina,2005,0.232,co2_intensity
Brazil,2005,0.13,co2_intensity
Chile,2005,0.203,co2_intensity
Colombia,2005,0.127,co2_intensity
Mexico,2005,0.241,co2_intensity
Venezuela,2005,0.154,co2_intensity
China,2005,0.687,co2_intensity
India,2005,0.281,co2_intensity
Indonesia,2005,0.204,co2_intensity
Japan,2005,0.238,co2_intensity
Malaysia,2005,0.315,co2_intensity
South Korea,2005,0.387,co2_intensity
Taiwan,2005,0.692,co2_intensity
Thailand,2005,0.259,co2_intensity
Australia,2005,0.45,co2_intensity
New Zealand,2005,0.227,co2_intensity
Algeria,2005,0.184,co2_intensity
Egypt,2005,0.228,co2_intensity
Nigeria,2005,0.095,co2_intensity
South Africa,2005,0.678,co2_intensity
Iran,2005,0.391,co2_intensity
Kuwait,2005,0.292,co2_intensity
Saudi Arabia,2005,0.268,co2_intensity
United Arab Emirates,2005,0.249,co2_intensity
Belgium,2006,0.237,co2_intensity
Czech Rep.,2006,0.394,co2_intensity
France,2006,0.145,co2_intensity
Germany,2006,0.23,co2_intensity
Italy,2006,0.19,co2_intensity
Netherlands,2006,0.236,co2_intensity
Poland,2006,0.432,co2_intensity
Portugal,2006,0.182,co2_intensity
Romania,2006,0.263,co2_intensity
Spain,2006,0.206,co2_intensity
Sweden,2006,0.124,co2_intensity
United Kingdom,2006,0.219,co2_intensity
Norway,2006,0.128,co2_intensity
Turkey,2006,0.199,co2_intensity
Kazakhstan,2006,0.637,co2_intensity
Russia,2006,0.547,co2_intensity
Ukraine,2006,0.797,co2_intensity
Uzbekistan,2006,1.205,co2_intensity
Canada,2006,0.399,co2_intensity
United States,2006,0.354,co2_intensity
Argentina,2006,0.229,co2_intensity
Brazil,2006,0.126,co2_intensity
Chile,2006,0.197,co2_intensity
Colombia,2006,0.119,co2_intensity
Mexico,2006,0.237,co2_intensity
Venezuela,2006,0.136,co2_intensity
China,2006,0.675,co2_intensity
India,2006,0.274,co2_intensity
